CASTE,GENERAL,OBC,SC,ST,OTHERS,NON STATED,OVERALL
JAN-APR 2018,86.44,94.81,97.2,98.6,91.7,84.28,93.54
MAY-AUG 2018,85.09,94.35,97,98.38,91.1,84.1,93
SEP-DEC 2018,84.64,93.93,96.46,98.57,90.48,84.42,92.59
JAN-APR 2019,84.33,93.73,96.33,98.45,89.52,86.3,92.32
MAY-AUG 2019,83.74,93.58,96.38,98.27,89.73,85.44,92.14
SEP-DEC 2019,83.29,92.98,95.99,98.15,88.58,82.17,91.61
JAN-APR 2020,87.26,95.69,97.58,98.84,92.77,89.19,94.33
MAY-AUG 2020,90.54,96.99,97.79,99.1,95.84,94.55,95.97
SEP-DEC 2020,90.68,96.67,97.79,98.9,95.56,92.01,95.76
JAN-APR 2021,89.17,95.97,97.63,98.79,93.45,88.73,94.89
MAY-AUG 2021,91.51,97.2,97.76,98.39,95.05,95.54,96.09
SEP-DEC 2021,91.84,97.68,98.34,99.05,95.38,95.41,96.57
