RELIGION,HINDU,MUSLIM,CHRISTIAN,SIKH,OTHERS
Jan-Apr 2018,54.59,58.78,39.63,28.02,44.36
May-Aug 2018,53.69,58.43,39.34,27.13,45.25
Sep-Dec 2018,53.24,58.75,39.16,25.23,42.48
Jan-Apr 2019,54.45,60.17,40.06,26.8,41.78
May-Aug 2019,51.1,57.81,38.79,24.85,37.5
Sep-Dec 2019,50.05,53.6,37.27,24.38,38.94
Jan-Apr 2020,49.67,53.74,31.22,27.29,35.14
May-Aug 2020,50.08,51.99,38.77,28.29,34.7
Sep-Dec 2020,51.04,54.67,40.41,26.68,34.21
Jan-Apr 2021,50.21,54.65,37.36,24.49,32.8
May-Aug 2021,53.09,56.54,42.13,31.49,37.24
Sep-Dec 2021,53.3,56.43,42.62,28.94,37.84
